JobID,JobName,TotalCPU,MaxRSS,Elapsed
6421417_6,get_mappings,04:55.638,2553916K,00:04:58
6421417_7,get_mappings,04:53.255,3737440K,00:04:55
6421417_8,get_mappings,04:33.180,3385068K,00:04:35
6421417_9,get_mappings,03:44.408,3718952K,00:03:46
6424473_1,seg_blocks,02:38.896,390720K,00:02:43
6424473_10,seg_blocks,06:09.276,258316K,00:06:12
6424473_11,seg_blocks,05:41.032,237144K,00:05:44
6424473_12,seg_blocks,05:39.823,238808K,00:05:43
6424473_13,seg_blocks,00:51.507,132484K,00:00:52
6424473_14,seg_blocks,00:44.057,164584K,00:00:45
6424473_15,seg_blocks,00:46.024,169092K,00:00:47
6424473_16,seg_blocks,00:52.090,157236K,00:00:53
6424473_17,seg_blocks,00:47.738,149300K,00:00:49
6424473_18,seg_blocks,00:32.876,165408K,00:00:34
6424473_19,seg_blocks,00:20.439,42492K,00:00:21
6424473_2,seg_blocks,04:31.804,404776K,00:04:34
6424473_20,seg_blocks,00:18.584,39208K,00:00:19
6424473_21,seg_blocks,00:09.726,27068K,00:00:10
6424473_22,seg_blocks,00:10.116,27556K,00:00:11
6424473_3,seg_blocks,02:54.627,294816K,00:02:56
6424473_4,seg_blocks,03:10.085,294784K,00:03:12
6424473_5,seg_blocks,07:00.389,302824K,00:07:04
6424473_6,seg_blocks,06:58.177,494440K,00:07:02
6424473_7,seg_blocks,06:58.070,527528K,00:07:02
6424473_8,seg_blocks,06:37.607,276124K,00:06:41
6424473_9,seg_blocks,06:30.084,362248K,00:06:33
6425470_1,get_af,08:11.587,118250492K,00:08:15
6425470_10,get_af,05:37.384,79998328K,00:05:40
6425470_11,get_af,05:56.780,47571144K,00:05:59
6425470_12,get_af,05:30.475,44256312K,00:05:32
6425470_13,get_af,04:07.681,30191168K,00:04:09
6425470_14,get_af,03:45.089,28745112K,00:03:47
6425470_15,get_af,03:28.819,29151384K,00:03:30
6425470_16,get_af,03:39.127,31662964K,00:03:41
6425470_17,get_af,03:16.528,25035464K,00:03:18
6425470_18,get_af,03:36.360,24366672K,00:03:38
6425470_19,get_af,02:52.087,19533448K,00:02:53
6425470_2,get_af,09:21.753,133385884K,00:09:24
6425470_20,get_af,02:29.490,26276524K,00:02:31
6425470_21,get_af,01:30.710,14072272K,00:01:32
6425470_22,get_af,01:31.851,14882628K,00:01:33
6425470_3,get_af,09:45.051,113184504K,00:09:59
6425470_4,get_af,27:57.139,78774196K,00:28:09
6425470_5,get_af,27:56.746,68329312K,00:28:08
6425470_6,get_af,27:53.930,70772916K,00:28:05
6425470_7,get_af,06:51.914,99402688K,00:06:54
6425470_8,get_af,06:18.694,70386348K,00:06:21
6425470_9,get_af,07:56.232,66321212K,00:07:59
6425471_1,get_pmi_weights,21:31.879,13756848K,00:21:40
6425471_10,get_pmi_weights,24:11.866,13762448K,00:24:25
6425471_100,get_pmi_weights,20:59.249,12072992K,00:21:07
6425471_101,get_pmi_weights,21:26.071,12888360K,00:21:34
6425471_102,get_pmi_weights,21:04.006,12687728K,00:21:11
6425471_103,get_pmi_weights,21:06.530,13025216K,00:21:14
6425471_104,get_pmi_weights,20:54.771,12788804K,00:21:02
6425471_105,get_pmi_weights,21:49.175,12777164K,00:21:57
6425471_106,get_pmi_weights,20:52.122,13200344K,00:20:59
6425471_107,get_pmi_weights,20:42.255,13045688K,00:20:50
6425471_108,get_pmi_weights,20:46.285,13220084K,00:20:54
6425471_109,get_pmi_weights,22:29.312,12455724K,00:22:37
6425471_11,get_pmi_weights,24:13.395,13758340K,00:24:26
6425471_110,get_pmi_weights,23:12.725,12223664K,00:23:20
6425471_111,get_pmi_weights,23:02.696,13005220K,00:23:10
6425471_112,get_pmi_weights,23:19.214,12831668K,00:23:27
6425471_113,get_pmi_weights,23:27.796,13288092K,00:23:35
6425471_114,get_pmi_weights,23:37.945,12766412K,00:23:46
6425471_115,get_pmi_weights,22:22.327,11510936K,00:22:30
6425471_116,get_pmi_weights,22:43.772,12068152K,00:22:51
6425471_117,get_pmi_weights,23:15.461,13262684K,00:23:23
6425471_118,get_pmi_weights,23:28.844,13481884K,00:23:36
6425471_119,get_pmi_weights,22:47.239,12399208K,00:22:55
6425471_12,get_pmi_weights,24:40.029,13765612K,00:24:53
6425471_120,get_pmi_weights,23:23.402,12522532K,00:23:31
6425471_121,get_pmi_weights,22:22.148,12628676K,00:22:29
6425471_122,get_pmi_weights,23:04.375,12612056K,00:23:12
6425471_123,get_pmi_weights,22:57.393,11725936K,00:23:05
6425471_124,get_pmi_weights,22:03.082,11661616K,00:22:10
6425471_125,get_pmi_weights,21:39.479,13863960K,00:21:47
6425471_126,get_pmi_weights,23:01.825,13700796K,00:23:09
6425471_127,get_pmi_weights,23:12.137,11315848K,00:23:20
6425471_128,get_pmi_weights,23:18.387,11354448K,00:23:27
6425471_129,get_pmi_weights,23:12.266,11370752K,00:23:20
6425471_13,get_pmi_weights,23:03.828,15865772K,00:24:07
6425471_130,get_pmi_weights,23:04.955,11264608K,00:23:13
6425471_131,get_pmi_weights,23:13.341,11644172K,00:23:21
6425471_132,get_pmi_weights,23:12.039,11267700K,00:23:20
6425471_133,get_pmi_weights,23:50.148,9128644K,00:23:58
6425471_134,get_pmi_weights,23:40.121,9204452K,00:23:47
6425471_135,get_pmi_weights,23:40.423,10563000K,00:23:48
6425471_136,get_pmi_weights,23:36.322,10525756K,00:23:44
6425471_137,get_pmi_weights,24:44.197,10278616K,00:24:52
6425471_138,get_pmi_weights,23:41.171,10358240K,00:23:49
6425471_139,get_pmi_weights,24:27.426,10488124K,00:24:35
6425471_14,get_pmi_weights,23:06.518,15531504K,00:23:14
6425471_140,get_pmi_weights,23:27.948,9545704K,00:23:35
6425471_141,get_pmi_weights,23:27.657,10411612K,00:23:36
6425471_142,get_pmi_weights,22:37.476,9320476K,00:22:44
6425471_143,get_pmi_weights,21:41.888,10690132K,00:21:48
6425471_144,get_pmi_weights,22:31.013,9322060K,00:22:38
6425471_145,get_pmi_weights,22:39.477,9318832K,00:22:46
6425471_146,get_pmi_weights,22:13.751,9128956K,00:22:21
6425471_147,get_pmi_weights,22:14.958,9129388K,00:22:22
6425471_148,get_pmi_weights,22:21.571,9129784K,00:22:29
6425471_149,get_pmi_weights,22:28.971,9129240K,00:22:36
6425471_15,get_pmi_weights,23:36.176,16219712K,00:23:44
6425471_150,get_pmi_weights,21:53.713,9129732K,00:22:01
6425471_151,get_pmi_weights,22:11.064,9128548K,00:22:18
6425471_152,get_pmi_weights,22:33.818,9129076K,00:22:41
6425471_153,get_pmi_weights,22:59.068,10171328K,00:23:07
6425471_154,get_pmi_weights,22:24.995,9646860K,00:22:32
6425471_155,get_pmi_weights,22:34.631,9918076K,00:22:42
6425471_156,get_pmi_weights,22:57.294,9865644K,00:23:05
6425471_157,get_pmi_weights,22:38.436,9848276K,00:22:46
6425471_158,get_pmi_weights,22:21.662,9792988K,00:22:29
6425471_159,get_pmi_weights,22:59.317,9962252K,00:23:07
6425471_16,get_pmi_weights,22:46.403,16178772K,00:22:54
6425471_160,get_pmi_weights,22:39.445,10359784K,00:22:47
6425471_161,get_pmi_weights,23:09.802,9333928K,00:23:18
6425471_162,get_pmi_weights,23:10.168,9216520K,00:23:18
6425471_163,get_pmi_weights,22:50.799,9604832K,00:22:58
6425471_164,get_pmi_weights,22:39.163,9533828K,00:22:47
6425471_165,get_pmi_weights,22:06.854,9533956K,00:22:14
6425471_166,get_pmi_weights,23:21.348,9566080K,00:23:29
